"Date","Campaign Name","Campaign Id","Ad Group Name","Ad Group Id","Item Id","Item Name","Bid","Average CPC","Impressions","Clicks","CTR","Ad Spend","Conversion Rate (Units Sold Based)","Orders","Conversion Rate (Orders Based)","Total Attributed Sales","Advertised SKU Sales","Other SKU Sales","Units Sold","Advertised SKU Units (#)","Other SKU Units (#)","Total Attributed Sales (Shipping)","Total Attributed Sales (Curbside pickup and delivery)","Advertised SKU Click Sales (Shipping)","Advertised SKU Click Sales (Curbside pickup and delivery)","Other SKU Click Sales (Shipping)","Other SKU Click Sales (Curbside pickup and delivery)","RoAS"
"2023-01-30","Zeri_Odor-Pet_Odor_Eliminator_Kit-A1","2170111","Zero_Odor-Spray_Kit_4-A1","1803166","791441034","Zero Odor Cat Odor Eliminator Spray Kit with Litter Box Deodorizer Smell Remover","0.4","0.22","2303","1","0","0.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-01-30","Zero_Odor-Laundry_Odor_Eliminator-M1","2169940","Zero_Odor-64_oz-M1","1802754","498053157","Zero Odor Laundry Odor Eliminator Deodorizer Additive Smell Remover 64 oz","N/A","0.463","499","3","0.006","1.39","0.333","1","0.333","39.99","39.99","0","1","1","0","39.99","0","39.99","0","0","0","28.77"
"2023-01-30","Zero_Odor-Litter_Box_Odor_Eliminator_Spray-M1","2169933","Zero_Odor-64_oz-M1","1802747","133220217","Zero Odor Litter Box Odor Eliminator Refill Cat Kitty Litter Deodorizer Pet Smell Remover 64 oz","N/A","0","109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-01-30","Zero_Odor-Multi_Purpose_Odor_Eliminator-A1","2169997","Zero_Odor-Refill_64_oz-A1","1803004","121565189","Zero Odor Odor Eliminator Spray Refill Multi-Purpose Home Air & Surface Deodorizer 64 oz","0.4","0.2","8322","3","0","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-01-30","Zero_Odor-Multi_Purpose_Odor_Eliminator-A1","2169997","Zero_Odor-Spray_16_oz-A1","1803008","47657386","Zero Odor Molecular Odor Eliminator Spray Multi-Purpose Air & Surface Deodorizer Smell Remover 16 oz","0.75","0.223","9563","22","0.002","4.9","0.136","3","0.136","41.97","31.98","9.99","3","2","1","41.97","0","31.98","0","9.99","0","8.565"
"2023-01-30","Zero_Odor-Odor_Eliminator-M1","2170110","Zero_Odor-Spray_32_oz-M1","1803693","121772603","Zero Odor Commercial Odor Eliminator Spray Smell Remover Air & Surface Deodorizer Couch Carpet 32 oz","N/A","0.403","1143","6","0.005","2.42","0.167","1","0.167","26.99","26.99","0","1","1","0","26.99","0","26.99","0","0","0","11.153"
"2023-01-30","Zero_Odor-Stain_Remover_Spray-M1","2170114","Zero_Odor-Stain_Remover_Spray-M1","1803171","30215373","Zero Odor Pet Odor Eliminator Spray Stain Remover Urine Cleaner Deodorizer 16 oz","N/A","0.44","74","1","0.014","0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-01-31","Zero_Odor-Laundry_Odor_Eliminator-A1","2169939","Zero_Odor-Laundry_Odor_Eliminator_Kit-A1","1802759","777636288","Zero Odor Laundry Odor Eliminator Kit for Workout Clothes Bedding with Multi-Purpose Deodorizer","0.4","0","742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-01-31","Zero_Odor-Multi_Purpose_Odor_Eliminator-M1","2169998","Zero_Odor-Spray_Kit-M1","1803904","709614514","Zero Odor Multi-Purpose Odor Eliminator Spray Kit Home Air & Surface Deodorizer 3 Pack","N/A","0.403","3045","35","0.011","14.1","0.057","2","0.057","59.9","59.9","0","2","2","0","59.9","0","59.9","0","0","0","4.248"
"2023-02-01","Zero_Odor-Laundry_Odor_Eliminator-M1","2169940","Zero_Odor_Laundry_Odor_Eliminator_Kit-M1","1802760","777636288","Zero Odor Laundry Odor Eliminator Kit for Workout Clothes Bedding with Multi-Purpose Deodorizer","N/A","0.445","152","4","0.026","1.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
