"Date","Campaign Name","Campaign Id","Ad Group Name","Ad Group Id","Item Id","Item Name","Bid","Average CPC","Impressions","Clicks","CTR","Ad Spend","Conversion Rate (Units Sold Based)","Orders","Conversion Rate (Orders Based)","Total Attributed Sales","Advertised SKU Sales","Other SKU Sales","Units Sold","Advertised SKU Units (#)","Other SKU Units (#)","Total Attributed Sales (Shipping)","Total Attributed Sales (Curbside pickup and delivery)","Advertised SKU Click Sales (Shipping)","Advertised SKU Click Sales (Curbside pickup and delivery)","Other SKU Click Sales (Shipping)","Other SKU Click Sales (Curbside pickup and delivery)","RoAS"
"2023-05-04","Joeyz_Shopping-Red_Dish_Rack-Apr_23-A1","2309575","Joeyz_Shopping-Red_Dish_Rack-Apr_23-A1","2034790","451746253","Joey’z 3-Pc Extra Large Dish Drying Rack with Drainboard and Utensil Holder Set, Red","0.2","0.25","409","1","0.002","0.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-05","Joeyz_Shopping-Black_Dish_Rack-Apr_23-M1","2309580","Joeyz_Shopping-Black_Dish_Rack-Apr_23-M1","2034795","799341083","Joey’z 3-Pc Extra Large Dish Drying Rack with Drainboard and Utensil Holder Set, Black","N/A","0.45","248","3","0.012","1.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-05","Joeyz_Shopping-Clip_Fan_1Pk-Apr_23-M1","2309585","Joeyz_Shopping-Clip_Fan_1Pk-Apr_23-M1","2034802","623751748","Joey’z Clip On Fan Quiet Portable 6” Mini Fan for Desk Home Bedroom Office","N/A","0.34","211","1","0.005","0.34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-06","Joeyz_Shopping-Red_Dish_Rack-Apr_23-A1","2309575","Joeyz_Shopping-Red_Dish_Rack-Apr_23-A1","2034790","451746253","Joey’z 3-Pc Extra Large Dish Drying Rack with Drainboard and Utensil Holder Set, Red","0.2","0","361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-07","Joeyz_Shopping-Black_Dish_Rack-Apr_23-M1","2309580","Joeyz_Shopping-Black_Dish_Rack-Apr_23-M1","2034795","799341083","Joey’z 3-Pc Extra Large Dish Drying Rack with Drainboard and Utensil Holder Set, Black","N/A","0.512","1550","20","0.013","10.23","0.05","1","0.05","37.49","37.49","0","1","1","0","37.49","0","37.49","0","0","0","3.665"
"2023-05-09","Joeyz_Shopping-Black_Dish_Rack-Apr_23-A1","2309579","Joeyz_Shopping-Black_Dish_Rack-Apr_23-A1","2034794","799341083","Joey’z 3-Pc Extra Large Dish Drying Rack with Drainboard and Utensil Holder Set, Black","0.2","0.335","2099","2","0.001","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-09","Joeyz_Shopping-White_Dish_Rack-Apr_23-M1","2309572","Joeyz_Shopping-White_Dish_Rack-Apr_23-M1","2034787","267262462","Joey’z 3-Pc Extra Large Dish Drying Rack with Drainboard and Utensil Holder Set, White","N/A","0.44","105","1","0.01","0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-10","Joeyz_Shopping-Clip_Fan_1Pk-Apr_23-A1","2309584","Joeyz_Shopping-Clip_Fan_1Pk-Apr_23-A1","2034801","623751748","Joey’z Clip On Fan Quiet Portable 6” Mini Fan for Desk Home Bedroom Office","0.2","0.215","2561","12","0.005","2.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-10","Joeyz_Shopping-Red_Dish_Rack-Apr_23-M1","2309576","Joeyz_Shopping-Red_Dish_Rack-Apr_23-M1","2034791","451746253","Joey’z 3-Pc Extra Large Dish Drying Rack with Drainboard and Utensil Holder Set, Red","N/A","0.3","93","1","0.011","0.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-05","Joeyz_Shopping-White_Dish_Rack-Apr_23-M1","2309572","Joeyz_Shopping-White_Dish_Rack-Apr_23-M1","2034787","267262462","Joey’z 3-Pc Extra Large Dish Drying Rack with Drainboard and Utensil Holder Set, White","N/A","0.4","128","2","0.016","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
