"Date","Campaign Name","Campaign Id","Ad Group Name","Ad Group Id","Item Id","Item Name","Bid","Average CPC","Impressions","Clicks","CTR","Ad Spend","Conversion Rate (Units Sold Based)","Orders","Conversion Rate (Orders Based)","Total Attributed Sales","Advertised SKU Sales","Other SKU Sales","Units Sold","Advertised SKU Units (#)","Other SKU Units (#)","Total Attributed Sales (Shipping)","Total Attributed Sales (Curbside pickup and delivery)","Advertised SKU Click Sales (Shipping)","Advertised SKU Click Sales (Curbside pickup and delivery)","Other SKU Click Sales (Shipping)","Other SKU Click Sales (Curbside pickup and delivery)","RoAS"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","1363817519","LIQUIDHEALTH Clear Voice Vocal Throat Spray Natural Sore Throat Relief, Mint 1 fl Oz 2-Pack","0.2","0","706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","1732696066","LIQUIDHEALTH Clear Voice Natural Vocal Throat Spray, Honey Lemon 1 fl Oz 2-Pack","0.2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","1896025750","Clear Voice 3 Pack Clarity Soothing Spray Dampener Moisturizer Relief - Oral Throat Spray Medicine - Mint, Strawberry Lemonade, Honey Lemon Flavor 1 Fl Oz","1.42","1.554","5084","9","0.002","13.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","24191768","LIQUIDHEALTH Clear Voice Vocal Throat Spray Natural Sore Throat Relief, Mint 1 fl Oz","0.2","0","1352","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","24191928","LIQUIDHEALTH Clear Voice Natural Vocal Throat Spray, Honey Lemon 1 fl Oz","0.2","0","358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","2656397343","LIQUIDHEALTH Vitamin D3 5000 IU Liquid Supplement for Bone Health, Immune Support, 1 fl Oz 2-Pack","1.09","1.354","2300","5","0.002","6.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","2656790301","LIQUIDHEALTH Omega 3 Fish Oil for Dogs Liquid Supplement Puppy Essentials, 16 Oz","0.2","0","137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","28777327","LIQUIDHEALTH K9 Glucosamine for Dogs Hip & Joint Juice Liquid Vitamin, 32 Fl. Oz","1.38","1.909","3763","12","0.003","22.91","0.083","1","0.083","29.95","29.95","0","1","1","0","29.95","0","29.95","0","0","0","1.307"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","3435756620","LIQUIDHEALTH Omega 3 Fish Oil Cat Supplements & Vitamins with EPA, DPA & DHA, 8 Oz","1.38","1.485","3699","15","0.004","22.27","0.067","1","0.067","19.95","19.95","0","1","1","0","19.95","0","19.95","0","0","0","0.896"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","3459398659","LIQUIDHEALTH Omega 3 Fish Oil Cat Supplements & Vitamins with EPA, DPA & DHA, 8 Oz","0.2","0.2","238","1","0.004","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid health_Priority Skus","2579930","Priority_skus","2478893","425086408","LIQUIDHEALTH Clear Voice Vocal Throat Spray, Strawberry Lemonade 1 fl Oz","0.2","0.2","806","3","0.004","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-Chlorophyll-M1","2577749","Liquid_Health-Chlorophyll-M1","2475442","2076696867","LIQUIDHEALTH Chlorophyll Liquid Drops Deodorant, Detox, Energy & Immune Support, 2 fl Oz 2-Pack","N/A","0.8","63","3","0.048","2.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-Chlorophyll-M1","2577749","Liquid_Health-Chlorophyll-M1","2475442","5004101566","LIQUIDHEALTH Chlorophyll Liquid Drops Deodorant, Detox, Energy & Immune Support, 2 fl Oz","N/A","0.79","10","1","0.1","0.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-Fish_Oil-M1","2479475","Liquid_Health-Fish_Oil-M1","2313517","2577404385","LIQUIDHEALTH Omega 3 Fish Oil for Dogs Liquid Supplement Puppy Essentials, 16 Oz","N/A","1.757","216","3","0.014","5.27","0.333","1","0.333","19.95","19.95","0","1","1","0","19.95","0","19.95","0","0","0","3.786"
"2023-10-07","Liquid_Health-Fish_Oil-M1","2479475","Liquid_Health-Fish_Oil-M1","2313517","2656790301","LIQUIDHEALTH Omega 3 Fish Oil for Dogs Liquid Supplement Puppy Essentials, 16 Oz","N/A","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-Fish_Oil-M1","2479475","Liquid_Health-Fish_Oil-M1","2313517","3435756620","LIQUIDHEALTH Omega 3 Fish Oil Cat Supplements & Vitamins with EPA, DPA & DHA, 8 Oz","N/A","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-Fish_Oil-M1","2479475","Liquid_Health-Fish_Oil-M1","2313517","3459398659","LIQUIDHEALTH Omega 3 Fish Oil Cat Supplements & Vitamins with EPA, DPA & DHA, 8 Oz","N/A","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-H10_Throat_Spray-A1","2258243","1732696066","LIQUIDHEALTH Clear Voice Natural Vocal Throat Spray, Honey Lemon 1 fl Oz 2-Pack","0.57","1.33","3080","1","0","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-K9_Care-H10-A1","2258251","1161038388","LIQUIDHEALTH K9 Dog Ear Cleaner Solution Ear Cleaning Drops with Boric Acid, 12 fl Oz 2-Pack","0.39","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-K9_Care-H10-A1","2258251","3583594809","LIQUIDHEALTH K9 Dog Ear Cleaner Solution Ear Cleaning Drops with Boric Acid, 12 fl Oz 4-Pack","0.39","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-K9_Care-H10-A1","2258251","49252884","LIQUIDHEALTH K9 Dog Ear Cleaner Solution Ear Cleaning Drops with Boric Acid, 12 fl Oz","0.39","0.465","1262","2","0.002","0.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-K9_Glucosamine-H10-A1","2258248","28777327","LIQUIDHEALTH K9 Joint Juice Liquid Glucosamine for Dogs, Puppies and Senior Canines, 32 Oz.","0.2","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-K9_Glucosamine-H10-A1","2258248","49252922","LIQUIDHEALTH Glucosamine Cat Joint Supplement for Hip Pain & Joint Pain Relief, 2.3 Oz","0.64","1.007","5366","16","0.003","16.11","0.063","1","0.063","21.95","21.95","0","1","1","0","21.95","0","21.95","0","0","0","1.363"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Multivitamins-H10-A1","2258255","1117614811","Liquid Health 2 Pack Vitamin B12 Liquid Pure Methyl Drops, Methylcobalamin Energy Boost Natural Vegan Safe Sublingual Hydroxocobalamin -2 Fl Oz","0.52","0.95","1405","5","0.004","4.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Multivitamins-H10-A1","2258255","1480422443","LIQUIDHEALTH Liquid Multivitamin Natural Immune Support Supplement for Adult Men & Women, 32 Fl. Oz. 2-Pack","0.49","0.49","589","2","0.003","0.98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Multivitamins-H10-A1","2258255","2007006016","LIQUIDHEALTH Colloidal Silver Liquid 10PPM Itch Relief Drop Shot Supplement, 2 Fl. Oz. 2-Pack","0.2","0","269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Multivitamins-H10-A1","2258255","2827937370","LIQUIDHEALTH Liquid Prenatal Vitamins for Women Vegan Folate Supplement, 32 Fl. Oz 2-Pack","0.2","0","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Multivitamins-H10-A1","2258255","28934424","LIQUIDHEALTH Colloidal Silver Liquid 10PPM Itch Relief Drop Shot Supplement, 2 Fl. Oz.","0.34","0.465","631","2","0.003","0.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Multivitamins-H10-A1","2258255","343272177","LIQUIDHEALTH Liquid Prenatal Vitamins for Women Vegan Folate Supplement, 32 Fl. Oz","0.49","1.17","864","1","0.001","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Supplements-H10-A1","2258252","1488013443","LIQUIDHEALTH Daily Multi Minerals Supplement with Fulvic Minerals, 32 Oz 2-Pack","0.2","0","155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Supplements-H10-A1","2258252","1659412087","LIQUIDHEALTH Neurologic Brain Booster Supplement Nootropic Liquid Multivitamin, 32 fl Oz 2-Pack","0.52","0","527","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Supplements-H10-A1","2258252","1804575804","LIQUIDHEALTH Zinc Supplement Drops Immune Support Liquid Vitamin, 2 fl Oz Unflavored","0.2","0.43","203","1","0.005","0.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Supplements-H10-A1","2258252","1910869689","LIQUIDHEALTH Nascent Iodine Drops Thyroid Support & Immune Support Supplement, 2 fl Oz","0.34","0","194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-10-07","Liquid_Health-H10_KW-A1","2445284","Liquid_Health-Supplements-H10-A1","2258252","2192047857","LIQUIDHEALTH Organic Vitamin B12 Drops for Energy & Metabolism Boost, 2 fl Oz 2-Pack","0.52","0.861","2267","16","0.007","13.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
